,County,Year,FIPS,WBGT Days above 85,WBGT Hours above 85,WBGT Days above 90,WBGT Hours above 90,WBGT Av. 24h high JJA,WBGT Av. 24h low JJA
694,"Putnam County, IL",2017,17155.0,0,0,0,0,73.24983277053096,60.83215544487855
695,"Putnam County, IL",2018,17155.0,2,2,0,0,75.62709497920103,63.8186672770201
696,"Putnam County, IL",2019,17155.0,1,3,0,0,74.15768827813342,62.57294580285512
697,"Putnam County, IL",2020,17155.0,0,0,0,0,75.12537341623951,63.548606002306265
698,"Putnam County, IL",2021,17155.0,1,0,0,0,75.27907497910476,64.37018045673827
699,"Putnam County, IL",2022,17155.0,1,0,0,0,74.37010332154368,62.71372337999843
700,"Putnam County, IL",2023,17155.0,3,0,0,0,73.63867734798244,61.46754759618425
701,"Putnam County, IL",2024,17155.0,2,0,0,0,74.18708200736901,63.0324570849903
702,"Randolph County, IL",2016,17157.0,4,8,0,0,78.96912869777901,69.22877494212382
703,"Randolph County, IL",2017,17157.0,3,5,0,0,76.47737845810029,65.681785311093
704,"Randolph County, IL",2018,17157.0,0,0,0,0,78.08954193913698,68.11089020829563
705,"Randolph County, IL",2019,17157.0,1,1,0,0,76.9312389872177,66.82406047414442
706,"Randolph County, IL",2020,17157.0,1,1,0,0,77.57905581885935,67.4992340505914
707,"Randolph County, IL",2021,17157.0,0,0,0,0,77.821722779975,67.95023705943957
708,"Randolph County, IL",2022,17157.0,7,0,0,0,78.05284137733965,67.39452100447654
709,"Randolph County, IL",2023,17157.0,9,0,0,0,77.31288444152118,66.42647353754379
710,"Randolph County, IL",2024,17157.0,4,0,0,0,77.45425062164603,66.78380185617071
711,"Richland County, IL",2016,17159.0,1,2,0,0,78.0601608087422,67.98783478460585
712,"Richland County, IL",2017,17159.0,1,1,0,0,75.47486057833946,64.3334408202902
713,"Richland County, IL",2018,17159.0,0,0,0,0,77.41562393563852,67.09521290767857
714,"Richland County, IL",2019,17159.0,0,0,0,0,76.22683461396382,65.4217665683491
715,"Richland County, IL",2020,17159.0,1,1,0,0,76.66845048975178,66.18427844595621
716,"Richland County, IL",2021,17159.0,0,0,0,0,77.40407311611726,67.2772078588168
717,"Richland County, IL",2022,17159.0,4,0,0,0,77.0016023071275,66.22596053211954
718,"Richland County, IL",2023,17159.0,4,0,0,0,76.08803425082327,64.9361346130619
719,"Richland County, IL",2024,17159.0,0,0,0,0,76.35602895363456,64.96046559688257
720,"Rock Island County, IL",2016,17161.0,2,3,0,0,75.47926745461744,64.46729803198654
721,"Rock Island County, IL",2017,17161.0,0,0,0,0,73.67209044055492,61.14621986246984
722,"Rock Island County, IL",2018,17161.0,0,0,0,0,75.72244002739393,64.17423755038791
723,"Rock Island County, IL",2019,17161.0,1,5,0,0,74.20466976844446,63.10322811468551
